1287213697 0
1287215672 9958
1287222659 9947
1287223961 10206
1287223987 10208
1287224007 10208
1287224554 10208
1287225540 10218
1287227307 10214
1287227567 10002
1287228493 10002
1287232619 9989
1287232650 10004
1287232686 9989
1287232803 9997
1287237228 10004
1287239676 10273
1287239772 10273
1287244236 10330
1287303191 10359
1287303989 10371
1287306168 10414
1287307508 10499
1287307798 10499
1287313027 10500
1287315813 10573
1287331443 10636
1287331464 10642
1287331574 10641
1287332685 10657
1287332747 10654
1287337649 10711
